#{"t_start": 1706610538.8116398, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.9675,13,613.649744
0.97,12,613.660748
0.9675,13,613.672148
0.97,12,613.683088
0.9725,11,613.69201
0.92,32,613.720639
0.975,10,613.729602
0.975,10,613.738296
0.9625,15,613.752963
0.965,14,613.765498
0.9625,15,613.77941
0.975,10,613.78824
0.965,14,613.800935
0.9675,13,613.813118
0.9525,19,613.829618
0.9525,19,613.847765
0.97,12,613.858639
0.9575,17,613.873289
0.955,18,613.890943
0.975,10,613.900801
0.965,14,613.913651
0.9725,11,613.924965
0.96,16,613.93909
0.9725,11,613.949765
0.97,12,613.960862
0.9525,19,613.977716
0.97,12,613.987724
0.9775,9,613.995801
0.97,12,614.006719
0.9725,11,614.016567
0.965,14,614.029257
0.935,26,614.053372
0.965,14,614.065207
0.9675,13,614.077371
0.965,14,614.089702
0.9725,11,614.099235
0.9625,15,614.113251
0.9675,13,614.124592
0.97,12,614.136187
0.9675,13,614.146901
0.9575,17,617.271244
0.9725,11,617.280735
0.9575,17,617.295857
0.97,12,617.306405
0.9625,15,617.319865
0.9575,17,617.337282
0.975,10,617.346293
0.9725,11,617.355694
0.9675,13,617.367625
0.955,18,617.384708
0.9725,11,617.394711
0.9725,11,617.403317
0.97,12,617.414575
0.9425,23,617.434355
0.9675,13,617.446776
0.96,16,617.461421
0.9725,11,617.471356
0.97,12,617.48218
0.9625,15,617.495133
0.97,12,617.506677
0.975,10,617.515484
0.975,10,617.529094
0.955,18,617.545869
0.945,22,617.566838
0.9675,13,617.579737
0.975,10,617.58852
0.955,18,617.605006
0.9625,15,617.61833
0.9625,15,617.632184
0.9425,23,617.653148
0.975,10,617.662535
0.9525,19,617.678883
0.9775,9,617.687629
0.9625,15,617.700603
0.9475,21,617.719615
0.9775,9,617.727279
0.9625,15,617.740711
0.97,12,617.752179
0.97,12,617.762323
0.96,16,617.776474
0.96,16,617.791347
0.9625,15,617.80479
0.9625,15,617.818681
0.97,12,617.829345
0.96,16,617.843127
0.9625,15,617.857735
0.9675,13,617.868621
0.975,10,617.877632
0.9575,17,617.89243
0.9625,15,617.905891
0.965,14,617.918744
0.96,16,617.934485
0.9475,21,617.953123
0.97,12,617.963648
0.96,16,617.97816
0.975,10,617.98726
0.97,12,617.998691
0.9675,13,618.010324
0.975,10,618.019884
0.97,12,618.030779
0.97,12,618.040944
0.975,10,618.049642
0.9625,15,618.063859
0.9625,15,618.076693
0.97,12,618.088854
0.955,18,618.104796
0.9575,17,618.12136
0.975,10,618.130632
0.9725,11,618.140633
0.9175,33,618.170681
0.96,16,618.18532
0.9575,17,618.20034
0.9675,13,618.210755
0.975,10,618.220947
0.9775,9,618.228739
0.9725,11,618.239327
0.975,10,618.248862
0.98,8,618.255572
0.9775,9,618.263677
0.97,12,618.274633
0.9675,13,618.286629
0.965,14,618.298521
0.9675,13,618.31146
0.965,14,618.324242
0.9775,9,618.332244
0.9475,21,618.350796
0.975,10,618.361101
0.97,12,618.372371
0.965,14,618.38679
0.975,10,618.394686
0.965,14,618.40867
0.96,16,618.428757
0.945,22,618.453451
0.9725,11,618.463185
0.9425,23,618.485251
0.975,10,618.494405
0.965,14,618.508698
0.97,12,618.519255
0.9575,17,618.535186
0.97,12,618.546656
0.9725,11,618.556316
0.9625,15,618.570406
0.975,10,618.580664
0.96,16,618.593912
0.965,14,618.606688
0.955,18,618.622251
0.955,18,618.640381
0.975,10,618.649247
0.975,10,618.658694
0.975,10,618.667595
0.9725,11,618.677144
0.965,14,618.689645
0.97,12,618.699638
0.9625,15,618.713182
0.9725,11,618.723158
0.9625,15,618.737855
0.965,14,618.751051
0.955,18,618.767637
0.97,12,618.77918
0.97,12,618.789347
0.97,12,618.802082
0.975,10,618.810824
0.96,16,618.825197
0.9725,11,618.834774
0.975,10,618.844779
0.955,18,618.859998
0.955,18,618.875676
0.97,12,618.887659
0.9725,11,618.896617
0.965,14,618.909551
0.96,16,618.924573
0.975,10,618.9332
0.9475,21,618.952308
0.975,10,618.960719
0.9575,17,618.976167
0.955,18,618.992411
0.975,10,619.002124
0.97,12,619.012073
0.975,10,619.021111
0.9775,9,619.030234
0.9625,15,619.043081
0.9725,11,619.05221
0.975,10,619.061275
0.9725,11,619.071416
0.95,20,619.088879
0.975,10,619.098445
0.9675,13,619.10973
0.975,10,619.120265
0.9775,9,619.127643
0.955,18,622.275496
0.955,18,622.292614
0.975,10,622.302163
0.975,10,622.31026
0.975,10,622.32042
0.9675,13,622.332355
0.975,10,622.340408
0.9675,13,622.352436
0.9775,9,622.362384
0.9675,13,622.374492
0.9725,11,622.384023
0.965,14,622.397753
0.9725,11,622.407604
0.965,14,622.420658
0.965,14,622.433379
0.9675,13,622.446776
0.96,16,622.462431
0.97,12,622.475126
0.97,12,622.487651
0.97,12,622.510844
0.9325,27,622.537911
0.975,10,622.546825
0.9675,13,622.559645
0.96,16,622.573499
0.9775,9,622.582102
0.9575,17,622.597558
0.9675,13,622.610162
0.9725,11,622.619611
0.9725,11,622.630188
0.9725,11,622.640689
0.9525,19,622.65925
0.9675,13,622.669828
0.95,20,622.690238
0.975,10,622.698562
0.9675,13,622.710521
0.965,14,622.722994
0.9725,11,622.732324
0.965,14,622.745465
0.9625,15,622.759706
0.97,12,622.770516
0.9675,13,622.781315
0.9725,11,622.792192
0.9725,11,622.80222
0.955,18,622.819368
0.97,12,622.829689
0.97,12,622.839566
0.975,10,622.849071
0.9525,19,622.867277
0.9725,11,622.877249
0.9425,23,622.897714
0.965,14,622.910998
0.965,14,622.922991
0.97,12,622.933642
0.9575,17,622.949535
0.9725,11,622.958723
0.97,12,622.970675
0.9775,9,622.978443
0.9575,17,622.994527
0.965,14,623.007458
0.97,12,623.018337
0.965,14,623.030719
0.9725,11,623.039653
0.97,12,623.050733
0.9675,13,623.062047
0.9575,17,623.077373
0.965,14,623.090287
0.9725,11,623.100503
0.9675,13,623.11206
0.97,12,623.122348
0.96,16,623.137605
0.96,16,623.152856
0.9675,13,623.167341
0.9775,9,623.175534
0.975,10,623.184163
0.9625,15,623.198385
0.96,16,623.212116
0.9725,11,623.223142
0.9675,13,623.234967
0.9575,17,623.250718
0.97,12,623.261192
0.9625,15,623.276676
0.975,10,623.286528
0.9525,19,623.303112
0.9575,17,623.319254
0.965,14,623.332227
0.965,14,623.344876
0.965,14,623.358859
0.9575,17,623.375532
0.9725,11,623.384417
0.9775,9,623.393488
0.9625,15,623.406712
0.97,12,623.417504
0.9775,9,623.426016
0.97,12,623.442063
0.94,24,623.464374
0.9675,13,623.476535
0.97,12,623.488672
0.975,10,623.498101
0.975,10,623.507385
0.9675,13,623.520708
0.9525,19,623.539371
0.9625,15,623.553235
0.96,16,623.567028
0.9775,9,623.575681
0.955,18,623.593516
0.955,18,623.609634
0.9775,9,623.617407
0.975,10,623.625716
0.975,10,623.634671
0.9775,9,623.64219
0.9475,21,623.663208
0.965,14,623.675645
0.935,26,623.69847
0.9625,15,623.71244
0.97,12,623.72236
0.9625,15,623.737271
0.965,14,623.751363
0.9675,13,623.763406
0.9425,23,623.782402
0.9625,15,623.796463
0.965,14,623.807847
0.965,14,623.820624
0.9675,13,623.832294
0.965,14,623.844485
0.96,16,623.859866
0.9425,23,623.880479
0.9675,13,623.892401
0.98,8,623.899495
0.9675,13,623.913256
0.9675,13,623.925483
0.96,16,623.94082
0.9725,11,623.950499
0.9575,17,623.967227
0.965,14,623.979365
0.97,12,623.989339
0.97,12,623.999845
0.9525,19,624.016438
0.97,12,624.026808
0.9675,13,624.038582
0.9475,21,624.057699
0.965,14,624.070534
0.96,16,624.085472
0.9625,15,624.098823
0.975,10,624.107169
0.965,14,624.119311
0.965,14,624.133091
0.9725,11,624.143111
0.9775,9,624.151199
0.965,14,624.164442
0.9725,11,624.175425
0.965,14,627.328744
0.955,18,627.344338
0.9625,15,627.358537
0.9675,13,627.370691
0.9725,11,627.380589
0.98,8,627.389409
0.96,16,627.403232
0.9575,17,627.418183
0.975,10,627.427565
0.965,14,627.439457
0.97,12,627.450742
0.9575,17,627.465567
0.9575,17,627.481174
0.9625,15,627.499521
0.9475,21,627.518706
0.9575,17,627.535543
0.97,12,627.546327
0.95,20,627.565124
0.96,16,627.580729
0.965,14,627.593224
0.96,16,627.607439
0.965,14,627.620195
0.955,18,627.636571
0.9775,9,627.64523
0.97,12,627.656227
0.97,12,627.666358
0.96,16,627.682159
0.9675,13,627.693401
0.975,10,627.70331
0.96,16,627.718046
0.9675,13,627.730241
0.97,12,627.740955
0.9575,17,627.755824
0.9625,15,627.769716
0.9725,11,627.780266
0.975,10,627.789375
0.975,10,627.79869
0.97,12,627.808704
0.945,22,627.829119
0.97,12,627.840783
0.96,16,627.855833
0.96,16,627.870752
0.965,14,627.883147
0.9725,11,627.892332
0.9725,11,627.903285
0.965,14,627.916358
0.9575,17,627.931035
0.9625,15,627.945409
0.945,22,627.974495
0.96,16,627.988245
0.97,12,628.000486
0.9725,11,628.010411
0.9725,11,628.019736
0.945,22,628.04008
0.965,14,628.052053
0.95,20,628.069397
0.9725,11,628.07966
0.9675,13,628.09067
0.9625,15,628.105211
0.965,14,628.117907
0.975,10,628.126692
0.9575,17,628.142026
0.9575,17,628.157317
0.975,10,628.167605
0.9775,9,628.176992
0.9575,17,628.192009
0.9725,11,628.202245
0.9775,9,628.212137
0.9725,11,628.220893
0.97,12,628.232112
0.97,12,628.243144
0.9675,13,628.25573
0.97,12,628.267287
0.97,12,628.277328
0.9725,11,628.287879
0.965,14,628.30095
0.97,12,628.312269
0.955,18,628.329833
0.95,20,628.348198
0.97,12,628.359271
0.9475,21,628.377633
0.9575,17,628.393263
0.955,18,628.40995
0.95,20,628.433603
0.97,12,628.445829
0.9725,11,628.456504
0.97,12,628.467696
0.965,14,628.487497
0.9625,15,628.50535
0.96,16,628.520273
0.965,14,628.532263
0.95,20,628.549716
0.97,12,628.559414
0.9675,13,628.572324
0.9625,15,628.586667
0.97,12,628.598505
0.955,18,628.615271
0.97,12,628.625549
0.97,12,628.636781
0.965,14,628.652101
0.955,18,628.669764
0.97,12,628.680671
0.9575,17,628.69668
0.9425,23,628.716789
0.9625,15,628.7307
0.9625,15,628.742928
0.965,14,628.755838
0.97,12,628.765783
0.965,14,628.778807
0.96,16,628.793192
0.9425,23,628.813192
0.9775,9,628.821203
0.97,12,628.832166
0.965,14,628.845747
0.9725,11,628.854424
0.965,14,628.868088
0.955,18,628.884322
0.97,12,628.894998
0.9625,15,628.908149
0.955,18,628.924608
0.965,14,628.936452
0.9575,17,628.952259
0.95,20,628.97108
0.9675,13,628.982183
0.96,16,628.997074
0.9725,11,629.008117
0.965,14,629.021409
0.945,22,629.041047
0.9725,11,629.052362
0.97,12,629.063235
0.96,16,629.077746
0.9725,11,629.088273
0.9625,15,629.102467
0.9675,13,629.114547
0.965,14,629.12721
0.975,10,629.135864
0.9675,13,629.148887
0.9475,21,629.167237
0.96,16,629.181042
0.9575,17,629.196698
0.9725,11,629.207664
0.9575,17,629.222733
0.9675,13,632.339756
0.9675,13,632.35233
0.97,12,632.362114
0.96,16,632.377355
0.9625,15,632.39219
0.975,10,632.402105
0.9725,11,632.411297
0.9675,13,632.423285
0.97,12,632.433236
0.96,16,632.449427
0.9625,15,632.463295
0.9725,11,632.476865
0.9675,13,632.489779
0.9725,11,632.500096
0.97,12,632.510557
0.9725,11,632.523291
0.95,20,632.54092
0.955,18,632.557687
0.97,12,632.568521
0.98,8,632.575502
0.975,10,632.586043
0.97,12,632.597828
0.97,12,632.608482
0.9725,11,632.618018
0.9725,11,632.629293
0.965,14,632.642434
0.97,12,632.654566
0.97,12,632.664142
0.965,14,632.676563
0.97,12,632.688125
0.97,12,632.69857
0.97,12,632.709469
0.965,14,632.722
0.9575,17,632.736639
0.97,12,632.747759
0.9625,15,632.760668
0.9775,9,632.768271
0.9775,9,632.776857
0.9725,11,632.787418
0.97,12,632.797937
0.9625,15,632.812
0.9575,17,632.826529
0.9625,15,632.84005
0.97,12,632.850793
0.955,18,632.867573
0.9675,13,632.879188
0.96,16,632.893607
0.9425,23,632.914277
0.97,12,632.92493
0.9575,17,632.940542
0.9425,23,632.961627
0.9675,13,632.972683
0.9775,9,632.982193
0.975,10,632.990469
0.975,10,633.000422
0.975,10,633.009545
0.975,10,633.018096
0.9575,17,633.033265
0.97,12,633.043794
0.9675,13,633.055705
0.97,12,633.067713
0.9675,13,633.078505
0.965,14,633.092152
0.955,18,633.108446
0.955,18,633.125782
0.975,10,633.134866
0.9575,17,633.150711
0.9525,19,633.167801
0.975,10,633.177375
0.97,12,633.188452
0.965,14,633.201139
0.96,16,633.216068
0.965,14,633.229195
0.97,12,633.239763
0.975,10,633.249841
0.9725,11,633.259595
0.9425,23,633.280842
0.975,10,633.289473
0.9525,19,633.307582
0.96,16,633.320771
0.9525,19,633.339349
0.95,20,633.356484
0.9625,15,633.372331
0.97,12,633.383404
0.95,20,633.406083
0.965,14,633.419644
0.9625,15,633.434618
0.94,24,633.455294
0.97,12,633.466424
0.9775,9,633.474735
0.9725,11,633.485506
0.975,10,633.494487
0.97,12,633.50403
0.975,10,633.514749
0.97,12,633.525841
0.9625,15,633.538664
0.9575,17,633.554364
0.9775,9,633.5624
0.975,10,633.570714
0.9625,15,633.584772
0.9675,13,633.596353
0.975,10,633.605149
0.965,14,633.617385
0.9475,21,633.636297
0.9625,15,633.649919
0.97,12,633.660846
0.9675,13,633.673331
0.9675,13,633.684618
0.9725,11,633.695226
0.9725,11,633.704634
0.965,14,633.717328
0.965,14,633.729595
0.9575,17,633.745647
0.9725,11,633.755508
0.9575,17,633.770235
0.9625,15,633.784369
0.9475,21,633.802402
0.955,18,633.817673
0.9725,11,633.827684
0.96,16,633.842211
0.97,12,633.853486
0.96,16,633.868459
0.945,22,633.887559
0.9775,9,633.896527
0.97,12,633.907045
0.975,10,633.915617
0.97,12,633.926816
0.97,12,633.936805
0.975,10,633.94749
0.9575,17,633.96336
0.97,12,633.976425
0.97,12,633.986561
0.975,10,633.995327
0.9675,13,634.00671
0.965,14,634.020493
0.965,14,634.034531
0.975,10,634.044214
0.975,10,634.053051
0.97,12,634.063577
0.9675,13,634.074196
0.9725,11,634.08481
0.955,18,634.101391
0.945,22,634.120584
0.9675,13,634.133065
0.9675,13,634.144236
0.9675,13,634.156912
0.9575,17,634.172193
0.9625,15,634.185661
0.975,10,634.194201
0.9525,19,634.211995
0.97,12,637.319068
0.9625,15,637.332385
0.965,14,637.344528
0.9675,13,637.356047
0.955,18,637.373537
0.9625,15,637.388065
0.965,14,637.401026
0.95,20,637.425902
0.97,12,637.438458
0.9625,15,637.451384
0.9625,15,637.464833
0.96,16,637.479826
0.965,14,637.492443
0.9775,9,637.508832
0.965,14,637.522013
0.9575,17,637.538466
0.97,12,637.549325
0.9725,11,637.558672
0.9725,11,637.568863
0.9675,13,637.580887
0.96,16,637.594633
0.9725,11,637.60525
0.9675,13,637.616679
0.9175,33,637.645795
0.95,20,637.665035
0.9775,9,637.672555
0.965,14,637.68583
0.9775,9,637.69574
0.955,18,637.713233
0.9575,17,637.728208
0.93,28,637.754476
0.9675,13,637.765177
0.9625,15,637.779782
0.97,12,637.790328
0.9525,19,637.807369
0.9675,13,637.819724
0.97,12,637.830983
0.9675,13,637.842299
0.9375,25,637.865574
0.945,22,637.884715
0.9625,15,637.898692
0.9525,19,637.917356
0.9225,31,637.944762
0.975,10,637.95376
0.9725,11,637.963087
0.9625,15,637.977386
0.97,12,637.989133
0.9725,11,637.99864
0.97,12,638.008333
0.96,16,638.02329
0.9625,15,638.037407
0.9625,15,638.050172
0.96,16,638.065282
0.97,12,638.076715
0.9575,17,638.092459
0.97,12,638.105031
0.965,14,638.11753
0.9425,23,638.137202
0.9775,9,638.146355
0.96,16,638.161358
0.9625,15,638.176425
0.9725,11,638.185889
0.9575,17,638.199712
0.9675,13,638.212155
0.9275,29,638.238736
0.9675,13,638.250726
0.9625,15,638.265263
0.9525,19,638.283251
0.94,24,638.304636
0.9625,15,638.318648
0.96,16,638.333704
0.9575,17,638.35339
0.9625,15,638.369452
0.9625,15,638.382262
0.975,10,638.392047
0.97,12,638.403036
0.97,12,638.414154
0.975,10,638.423272
0.96,16,638.437504
0.9675,13,638.449094
0.96,16,638.465184
0.9675,13,638.477644
0.975,10,638.486822
0.965,14,638.499385
0.96,16,638.513796
0.96,16,638.529777
0.975,10,638.538285
0.9675,13,638.550271
0.965,14,638.562428
0.9625,15,638.575735
0.9575,17,638.590447
0.96,16,638.604958
0.9525,19,638.623089
0.9625,15,638.637415
0.97,12,638.649497
0.955,18,638.665549
0.96,16,638.681313
0.9725,11,638.691267
0.9475,21,638.709562
0.9625,15,638.724547
0.965,14,638.738087
0.9675,13,638.750299
0.96,16,638.765769
0.97,12,638.77686
0.965,14,638.788755
0.9625,15,638.802207
0.975,10,638.812318
0.955,18,638.830375
0.9575,17,638.845674
0.92,32,638.87434
0.9575,17,638.89012
0.97,12,638.902196
0.9625,15,638.917905
0.965,14,638.929874
0.975,10,638.938793
0.97,12,638.949883
0.975,10,638.957857
0.95,20,638.975809
0.9625,15,638.988551
0.97,12,638.999521
0.96,16,639.014344
0.96,16,639.029918
0.9475,21,639.048665
0.9725,11,639.059329
0.9675,13,639.070194
0.945,22,639.091478
0.9625,15,639.104797
0.965,14,639.117344
0.9625,15,639.13062
0.9625,15,639.144688
0.9675,13,639.156623
0.965,14,639.169686
0.9325,27,639.193234
0.955,18,639.208335
0.965,14,642.36666
0.96,16,642.382391
0.9625,15,642.395203
0.9775,9,642.403315
0.97,12,642.420047
0.955,18,642.438298
0.9425,23,642.459728
0.97,12,642.47123
0.9425,23,642.491157
0.9675,13,642.503721
0.9625,15,642.516672
0.9675,13,642.528947
0.9725,11,642.539197
0.975,10,642.547547
0.9775,9,642.55608
0.9525,19,642.572529
0.965,14,642.584429
0.95,20,642.602297
0.9325,27,642.628154
0.835,66,642.687959
0.965,14,642.700719
0.9675,13,642.713304
0.96,16,642.727543
0.96,16,642.74216
0.955,18,642.758706
0.9675,13,642.769721
0.965,14,642.782339
0.97,12,642.792392
0.97,12,642.803463
0.9775,9,642.810817
0.975,10,642.820678
0.9525,19,642.837707
0.965,14,642.849661
0.9525,19,642.866952
0.9775,9,642.874698
0.9725,11,642.885309
0.9675,13,642.898752
0.9675,13,642.911285
0.955,18,642.927486
0.97,12,642.937957
0.9525,19,642.966394
0.975,10,642.975327
0.97,12,642.986855
0.9525,19,643.004354
0.955,18,643.020656
0.9675,13,643.032109
0.9275,29,643.058337
0.9725,11,643.067842
0.98,8,643.074933
0.9725,11,643.084887
0.9775,9,643.092392
0.965,14,643.104839
0.9575,17,643.120819
0.96,16,643.13537
0.97,12,643.145489
0.96,16,643.159867
0.97,12,643.170259
0.94,24,643.190662
0.975,10,643.200197
0.9725,11,643.210664
0.9775,9,643.21854
0.955,18,643.235765
0.97,12,643.245381
0.9675,13,643.258609
0.9575,17,643.272343
0.9475,21,643.290715
0.955,18,643.307286
0.98,8,643.314772
0.9775,9,643.322277
0.9725,11,643.337225
0.9275,29,643.365802
0.9675,13,643.378362
0.935,26,643.401179
0.97,12,643.413158
0.9625,15,643.427721
0.9725,11,643.437583
0.915,34,643.467869
0.9775,9,643.476564
0.9575,17,643.492083
0.97,12,643.502441
0.9725,11,643.512466
0.9725,11,643.522251
0.95,20,643.539892
0.9675,13,643.552169
0.9525,19,643.569805
0.965,14,643.582073
0.9525,19,643.600692
0.965,14,643.614657
0.9575,17,643.630272
0.9775,9,643.638778
0.96,16,643.652152
0.9675,13,643.664629
0.97,12,643.675628
0.815,74,643.743366
0.975,10,643.752316
0.9575,17,643.76773
0.9625,15,643.780854
0.93,28,643.806751
0.9675,13,643.818499
0.9475,21,643.83683
0.9675,13,643.84906
0.965,14,643.862213
0.975,10,643.870805
0.9425,23,643.890988
0.9775,9,643.899718
0.9725,11,643.910717
0.9675,13,643.923493
0.9775,9,643.930603
0.965,14,643.94499
0.9475,21,643.963216
0.965,14,643.975527
0.9625,15,643.989425
0.96,16,644.004806
0.9625,15,644.01858
0.9675,13,644.03013
0.9575,17,644.045517
0.955,18,644.06104
0.9775,9,644.069149
0.935,26,644.092395
0.975,10,644.100502
0.9725,11,644.111247
0.9725,11,644.120816
0.9475,21,644.139981
0.9475,21,644.158832
0.9575,17,644.174672
0.9675,13,644.187695
0.975,10,644.197417
0.9675,13,644.209488
0.9625,15,644.223708
0.9725,11,644.233328
0.9525,19,644.249423
0.9775,9,647.400265
0.9475,21,647.419656
0.96,16,647.43422
0.975,10,647.445757
0.9425,23,647.46648
0.9725,11,647.476418
0.975,10,647.485831
0.9675,13,647.496767
0.9625,15,647.509833
0.975,10,647.518799
0.9575,17,647.534385
0.97,12,647.544858
0.9675,13,647.555913
0.97,12,647.566674
0.95,20,647.5852
0.96,16,647.60051
0.9725,11,647.610296
0.9675,13,647.62071
0.9775,9,647.629687
0.9575,17,647.644356
0.975,10,647.653411
0.97,12,647.665427
0.9625,15,647.678505
0.9575,17,647.694313
0.96,16,647.707829
0.9675,13,647.719726
0.96,16,647.734242
0.9625,15,647.747213
0.96,16,647.760735
0.9675,13,647.773097
0.965,14,647.785779
0.97,12,647.797662
0.97,12,647.807652
0.9575,17,647.823518
0.96,16,647.837834
0.9525,19,647.854682
0.965,14,647.867446
0.97,12,647.879732
0.9675,13,647.89067
0.955,18,647.906681
0.9525,19,647.923326
0.9525,19,647.940336
0.9725,11,647.949794
0.9475,21,647.970522
0.9725,11,647.980336
0.9625,15,647.992282
0.975,10,648.00223
0.9775,9,648.01061
0.9725,11,648.020149
0.965,14,648.03272
0.9775,9,648.042251
0.9725,11,648.052402
0.9525,19,648.070735
0.975,10,648.079533
0.9725,11,648.089261
0.9775,9,648.099707
0.965,14,648.112374
0.9775,9,648.120901
0.9675,13,648.132331
0.965,14,648.144637
0.9725,11,648.155241
0.975,10,648.164239
0.9625,15,648.177391
0.96,16,648.190888
0.9725,11,648.202461
0.935,26,648.225713
0.9675,13,648.238605
0.965,14,648.250167
0.9775,9,648.258858
0.95,20,648.276073
0.96,16,648.290364
0.965,14,648.308286
0.9725,11,648.319973
0.975,10,648.328821
0.9675,13,648.341408
0.945,22,648.360741
0.9525,19,648.380907
0.965,14,648.393901
0.97,12,648.40531
0.97,12,648.416494
0.95,20,648.435574
0.9625,15,648.448407
0.9425,23,648.469713
0.975,10,648.479808
0.9675,13,648.490821
0.9725,11,648.50061
0.9725,11,648.510201
0.9625,15,648.523821
0.965,14,648.535632
0.9725,11,648.546384
0.9725,11,648.557324
0.96,16,648.570801
0.965,14,648.583393
0.935,26,648.607408
0.975,10,648.616683
0.9625,15,648.62891
0.975,10,648.638603
0.965,14,648.652287
0.9675,13,648.664802
0.9725,11,648.67495
0.9675,13,648.68767
0.9775,9,648.697237
0.9675,13,648.708718
0.9725,11,648.71907
0.9725,11,648.729795
0.9625,15,648.743407
0.975,10,648.752403
0.9525,19,648.768707
0.9625,15,648.783382
0.9725,11,648.792418
0.975,10,648.800803
0.9575,17,648.817732
0.9625,15,648.83062
0.9625,15,648.84427
0.97,12,648.855895
0.965,14,648.868983
0.975,10,648.87846
0.975,10,648.88674
0.9725,11,648.896776
0.9575,17,648.912169
0.965,14,648.925873
0.9725,11,648.935461
0.97,12,648.945606
0.96,16,648.959359
0.975,10,648.968577
0.95,20,648.986387
0.97,12,648.997643
0.975,10,649.006412
0.955,18,649.023046
0.97,12,649.034401
0.9725,11,649.044515
0.9675,13,649.056447
0.9725,11,649.066691
0.96,16,649.080738
0.9775,9,649.089747
0.9625,15,649.103271
0.9725,11,649.114341
0.9675,13,649.125764
0.975,10,649.134739
0.9725,11,649.144282
0.945,22,649.16325
0.9725,11,649.174288
0.975,10,649.184826
0.975,10,649.19335
0.9675,13,649.20484
0.95,20,649.22316
0.97,12,649.240048
0.9625,15,649.254229
0.9575,17,649.272206
0.965,14,652.417692
0.9425,23,652.438709
0.975,10,652.447741
0.9625,15,652.46226
0.9675,13,652.473342
0.975,10,652.482896
0.9775,9,652.502057
0.97,12,652.512428
0.97,12,652.524655
0.9525,19,652.541204
0.975,10,652.551243
0.9725,11,652.561485
0.975,10,652.569859
0.955,18,652.587726
0.9775,9,652.595701
0.9675,13,652.606358
0.955,18,652.623136
0.9375,25,652.647333
0.9675,13,652.659683
0.975,10,652.668279
0.9675,13,652.68009
0.9775,9,652.688187
0.96,16,652.704393
0.9675,13,652.716111
0.9675,13,652.727425
0.975,10,652.736923
0.97,12,652.747917
0.975,10,652.756455
0.9825,7,652.762457
0.96,16,652.777029
0.955,18,652.792268
0.97,12,652.803395
0.975,10,652.812409
0.96,16,652.826707
0.96,16,652.842045
0.975,10,652.851155
0.9725,11,652.862483
0.965,14,652.874207
0.965,14,652.886335
0.975,10,652.895699
0.9725,11,652.90746
0.9675,13,652.919279
0.975,10,652.927892
0.95,20,652.946364
0.9525,19,652.962394
0.96,16,652.9771
0.9725,11,652.986523
0.9675,13,652.998042
0.975,10,653.007723
0.9775,9,653.016437
0.9575,17,653.032452
0.93,28,653.058392
0.955,18,653.074193
0.96,16,653.088742
0.96,16,653.103881
0.9725,11,653.114608
0.9725,11,653.124594
0.955,18,653.140158
0.975,10,653.149235
0.965,14,653.162168
0.97,12,653.172778
0.94,24,653.194642
0.975,10,653.203652
0.94,24,653.225631
0.9775,9,653.234407
0.9575,17,653.249379
0.96,16,653.263307
0.97,12,653.274073
0.9725,11,653.28352
0.9675,13,653.300644
0.9775,9,653.310631
0.9725,11,653.321094
0.9625,15,653.33518
0.97,12,653.347629
0.965,14,653.361326
0.95,20,653.378294
0.9725,11,653.38929
0.9625,15,653.402245
0.96,16,653.417732
0.9725,11,653.427847
0.965,14,653.441324
0.9675,13,653.453586
0.71,116,653.563307
0.945,22,653.583326
0.97,12,653.594783
0.9725,11,653.603734
0.9625,15,653.618044
0.96,16,653.632307
0.9775,9,653.640683
0.965,14,653.654417
0.975,10,653.663441
0.975,10,653.673286
0.965,14,653.685657
0.97,12,653.696623
0.955,18,653.714254
0.98,8,653.720545
0.97,12,653.734164
0.9525,19,653.752092
0.965,14,653.764766
0.9375,25,653.789924
0.9575,17,653.806786
0.9675,13,653.820173
0.9675,13,653.832194
0.97,12,653.843743
0.975,10,653.854789
0.9675,13,653.866677
0.9575,17,653.883779
0.975,10,653.893532
0.9725,11,653.904581
0.98,8,653.912786
0.975,10,653.922284
0.965,14,653.934773
0.96,16,653.950442
0.975,10,653.962229
0.9675,13,653.976176
0.9725,11,653.987885
0.9675,13,654.000945
0.975,10,654.009848
0.975,10,654.019678
0.975,10,654.028852
0.9675,13,654.040473
0.975,10,654.050377
0.9625,15,654.063454
0.97,12,654.075424
0.965,14,654.087715
0.955,18,654.104836
0.9675,13,654.117682
0.965,14,654.130458
0.9725,11,654.139946
0.94,24,654.162081
0.9775,9,654.169294
0.965,14,654.182019
0.965,14,654.195642
0.9625,15,654.209361
0.945,22,654.229
0.97,12,654.239944
0.97,12,654.255565
0.9775,9,654.26518
0.965,14,654.278551
0.965,14,654.292214
0.9725,11,654.303569
0.96,16,654.318539
0.9575,17,654.33471
0.96,16,657.511279
0.96,16,657.525735
0.9725,11,657.536668
0.965,14,657.549315
0.9725,11,657.558926
0.975,10,657.567604
0.9775,9,657.576734
0.9625,15,657.590731
0.9575,17,657.605558
0.965,14,657.619421
0.9725,11,657.628593
0.97,12,657.640471
0.9575,17,657.655528
0.9725,11,657.664301
0.9775,9,657.673276
0.9725,11,657.683306
0.9725,11,657.693196
0.97,12,657.70438
0.97,12,657.714903
0.97,12,657.725836
0.9775,9,657.735815
0.975,10,657.744842
0.96,16,657.75875
0.965,14,657.770734
0.9725,11,657.781231
0.975,10,657.78978
0.9625,15,657.803633
