#{"t_start": 1706610538.8116398, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.9325,27,185.190896
0.865,54,185.24191
0.93,28,185.266138
0.3725,251,185.503182
0.8025,79,188.927871
0.95,20,188.946012
0.0,360,189.286116
0.93,28,189.311629
0.0,360,189.637434
0.5425,183,189.805959
0.61,156,189.948662
0.525,190,190.124564
0.93,28,190.162678
0.465,214,190.363777
0.0,360,190.69021
0.7175,113,190.79165
0.68,128,194.201649
0.865,54,194.248851
0.9275,29,194.274927
0.0,360,194.616314
0.0,360,194.939636
0.7875,85,195.015058
0.9475,21,195.036233
0.865,54,195.085373
0.86,56,195.135312
0.875,50,195.179273
0.9275,29,195.207343
0.4025,239,195.440199
0.0,360,195.760152
0.88,48,195.804596
0.9225,31,195.831563
0.915,34,195.863826
0.8275,69,195.925191
0.7825,87,199.302737
0.795,82,199.375762
0.5625,175,199.535972
0.95,20,199.555206
0.8575,57,199.607178
0.0,360,199.931666
0.8075,77,200.002625
0.895,42,200.042915
0.0,360,200.372673
0.9225,31,200.404325
0.7375,105,200.506201
0.9075,37,200.540318
0.0,360,200.869971
0.9375,25,200.893188
0.8275,69,200.954497
0.8725,51,201.000169
0.9025,39,201.036318
0.0,360,204.717216
0.2575,297,204.983676
0.0,360,205.320575
0.6,160,205.470437
0.9075,37,205.505967
0.41,236,205.730134
0.9625,15,205.745251
0.655,138,205.870049
0.92,32,205.899163
0.7275,109,205.997683
0.765,94,206.08303
0.93,28,206.110266
0.9575,17,206.125718
0.0,360,209.711814
0.515,194,209.899328
0.78,88,209.981602
0.815,74,210.048516
0.7475,101,210.140012
0.93,28,210.165473
0.835,66,210.226187
0.69,124,210.338692
0.905,38,210.375415
0.945,22,210.395615
0.76,96,210.482615
0.0,360,210.81985
0.86,56,210.874155
0.8925,43,210.911958
0.85,60,210.963921
0.9175,33,210.993018
0.88,48,211.036819
0.79,84,211.113767
0.8925,43,211.152638
0.0,360,211.481752
0.8375,65,214.87288
0.94,24,214.893927
0.795,82,214.983096
0.915,34,215.01937
0.87,52,215.06926
0.0,360,215.404983
0.815,74,215.474173
0.7025,119,215.583928
0.8475,61,215.63896
0.0,360,215.976259
0.7675,93,216.059397
0.9625,15,216.071863
0.87,52,216.118193
0.86,56,216.168274
0.9025,39,216.203677
0.6775,129,216.32157
0.8225,71,216.386081
0.0,360,216.713309
0.0,360,220.354668
0.94,24,220.376363
0.9175,33,220.407416
0.92,32,220.436363
0.815,74,220.502763
0.9025,39,220.538136
0.79,84,220.615047
0.9075,37,220.660001
0.92,32,220.688759
0.9475,21,220.708175
0.855,58,220.760244
0.815,74,220.827615
0.8875,45,220.868038
0.8775,49,220.913754
0.8475,61,220.968987
0.95,20,220.986274
0.8425,63,221.054176
0.96,16,221.069227
0.8925,43,221.110809
0.795,82,221.186634
0.92,32,221.216142
0.7325,107,221.313815
0.9525,19,221.330976
0.9175,33,221.361845
0.0,360,221.690404
0.8825,47,221.735947
0.935,26,221.758914
0.9075,37,221.792685
0.96,16,221.808665
0.0,360,225.402838
0.0,360,225.730081
0.725,110,225.830405
0.6,160,225.974228
0.8225,71,226.036971
0.915,34,226.067479
0.635,146,226.205369
0.8775,49,226.250247
0.8125,75,226.319124
0.9025,39,226.352812
0.8625,55,226.402939
0.8725,51,226.449105
0.8625,55,226.500345
0.9325,27,226.523677
0.6625,135,226.648202
0.7625,95,226.732738
0.785,86,226.810363
0.8725,51,226.857748
0.905,38,226.890374
0.895,42,226.929231
0.9125,35,226.959697
0.95,20,226.977967
0.8875,45,227.0208
0.82,72,227.097096
0.7775,89,230.488765
0.9,40,230.525101
0.845,62,230.579363
0.8825,47,230.622773
0.87,52,230.670198
0.88,48,230.714436
0.8775,49,230.756238
0.4175,233,230.959905
0.96,16,230.975006
0.7675,93,231.056999
0.93,28,231.083741
0.9325,27,231.107878
0.9475,21,231.125962
0.89,44,231.165278
0.8825,47,231.207448
0.81,76,231.285269
0.9075,37,231.318618
0.9225,31,231.348436
0.91,36,231.394788
0.895,42,231.438136
0.8975,41,231.477205
0.95,20,231.495502
0.945,22,231.515924
0.8025,79,231.596982
0.885,46,231.640769
0.9225,31,231.668448
0.8975,41,231.704951
0.8625,55,231.753801
0.94,24,231.774907
0.7525,99,231.867311
0.81,76,231.938097
0.74,104,232.031864
0.5725,171,232.188037
0.9025,39,232.236299
0.915,34,232.2687
0.865,54,232.319447
0.8325,67,235.761932
0.945,22,235.781762
0.9025,39,235.816392
0.865,54,235.863681
0.7325,107,235.960211
0.94,24,235.981786
0.895,42,236.0204
0.885,46,236.060147
0.785,86,236.138017
0.9275,29,236.163957
0.935,26,236.187762
0.9325,27,236.211979
0.8975,41,236.249077
0.9325,27,236.272972
0.75,100,236.362755
0.86,56,236.414197
0.91,36,236.44614
0.7125,115,236.567024
0.82,72,236.637261
0.8675,53,236.684176
0.9325,27,236.708805
0.7625,95,236.795199
0.885,46,236.838943
0.8825,47,236.880209
0.8525,59,236.933652
0.895,42,236.972781
0.915,34,237.003071
0.915,34,237.03315
0.9225,31,237.061682
0.94,24,237.084434
0.7875,85,237.161513
0.945,22,237.182858
0.905,38,237.217849
0.8825,47,237.260559
0.8075,77,237.33281
0.62,152,237.476918
0.9075,37,237.512596
0.86,56,237.563997
0.895,42,237.601204
0.96,16,240.997282
0.905,38,241.030309
0.87,52,241.076296
0.9525,19,241.093678
0.6825,127,241.210979
0.915,34,241.241628
0.9075,37,241.275015
0.9375,25,241.298927
0.885,46,241.340006
0.8625,55,241.389199
0.85,60,241.442361
0.8175,73,241.508087
0.935,26,241.53298
0.9025,39,241.567177
0.0,360,241.907331
0.0,360,242.227483
0.9125,35,242.259211
0.83,68,242.318322
0.87,52,242.362671
0.925,30,242.390071
0.9525,19,242.407547
0.9525,19,242.424357
0.93,28,242.449173
0.9475,21,242.467923
0.9475,21,242.487685
0.7825,87,242.565805
0.9275,29,242.59158
0.8825,47,242.637135
0.895,42,242.677149
0.915,34,242.70829
0.9575,17,242.722842
0.905,38,242.7583
0.9275,29,242.784415
0.9525,19,242.802206
0.86,56,246.170302
0.9075,37,246.201619
0.8875,45,246.241907
0.9475,21,246.259159
0.905,38,246.293088
0.93,28,246.318964
0.825,70,246.378909
0.9575,17,246.395227
0.9175,33,246.425065
0.9225,31,246.453063
0.9125,35,246.483915
0.8875,45,246.521814
0.935,26,246.544596
0.935,26,246.567314
0.8475,61,246.626034
0.9025,39,246.660203
0.8425,63,246.715153
0.91,36,246.747429
0.94,24,246.771004
0.9125,35,246.801808
0.955,18,246.817748
0.9425,23,246.838992
0.9225,31,246.867151
0.905,38,246.915634
0.845,62,246.971981
0.8975,41,247.0109
0.9625,15,247.024269
0.855,58,247.075755
0.9075,37,247.108849
0.8925,43,247.14901
0.8775,49,247.192353
0.935,26,247.215112
0.9125,35,247.248084
0.9325,27,247.271611
0.8675,53,247.319262
0.9075,37,247.353032
0.875,50,247.396873
0.9275,29,247.422402
0.85,60,247.475451
0.95,20,247.493058
0.9475,21,247.511597
0.7875,85,247.586741
0.9425,23,247.60681
0.895,42,247.646279
0.8975,41,247.681807
0.91,36,247.715045
0.945,22,247.735232
0.885,46,247.77564
0.935,26,247.810326
0.9125,35,247.84486
0.9325,27,247.87002
0.9175,33,247.900801
0.915,34,247.934054
0.95,20,247.953638
0.85,60,248.009146
0.94,24,248.030012
0.9425,23,251.397839
0.9475,21,251.416752
0.895,42,251.45472
0.9575,17,251.470051
0.9725,11,251.479374
0.9175,33,251.507764
0.9175,33,251.537464
0.9075,37,251.570138
0.9175,33,251.600133
0.9425,23,251.620195
0.9075,37,251.652894
0.8525,59,251.706027
0.8325,67,251.767128
0.9225,31,251.795823
0.9,40,251.831004
0.9475,21,251.85132
0.92,32,251.878842
0.9525,19,251.897713
0.95,20,251.915599
0.0,360,252.245634
0.925,30,252.272666
0.94,24,252.293758
0.945,22,252.313237
0.955,18,252.329273
0.925,30,252.35573
0.9,40,252.394086
0.89,44,252.434067
0.9575,17,252.450199
0.9425,23,252.472779
0.9275,29,252.499539
0.95,20,252.517328
0.9,40,252.560441
0.8975,41,252.597054
0.9575,17,252.614026
0.7975,81,252.686399
0.9525,19,252.703608
0.9375,25,252.725345
0.935,26,252.748823
0.95,20,252.766131
0.9125,35,252.797978
0.8875,45,252.83819
0.96,16,252.853008
0.9225,31,252.879799
0.9125,35,252.91045
0.92,32,252.939138
0.945,22,252.958284
0.9325,27,252.996194
0.9425,23,253.017787
0.945,22,253.039806
0.8925,43,253.077251
0.8875,45,253.117174
0.925,30,253.143919
0.885,46,253.185086
0.87,52,253.229707
0.92,32,256.588557
0.95,20,256.605927
0.905,38,256.641955
0.9475,21,256.660215
0.735,106,256.755008
0.915,34,256.78473
0.945,22,256.804412
0.9325,27,256.828026
0.9175,33,256.857301
0.945,22,256.876682
0.9475,21,256.897841
0.9225,31,256.925275
0.925,30,256.950241
0.9025,39,256.986481
0.88,48,257.029217
0.91,36,257.060481
0.955,18,257.078221
0.395,242,257.31004
0.9675,13,257.321572
0.8725,51,257.367442
0.93,28,257.39386
0.9475,21,257.410488
0.9125,35,257.44272
0.9675,13,257.455382
0.95,20,257.472949
0.9275,29,257.498702
0.89,44,257.538217
0.935,26,257.561683
0.895,42,257.601947
0.8775,49,257.645654
0.7475,101,257.73485
0.9475,21,257.754294
0.9475,21,257.773976
0.9425,23,257.795215
0.9325,27,257.819412
0.955,18,257.836083
0.9175,33,257.867357
0.9275,29,257.89276
0.815,74,257.960192
0.8975,41,257.996219
0.7825,87,258.072837
0.9475,21,258.092908
0.9225,31,258.121768
0.8975,41,258.163789
0.91,36,258.196917
0.8625,55,258.248888
0.925,30,258.275248
0.95,20,258.29283
0.91,36,258.327569
0.97,12,258.338293
0.9025,39,258.372792
0.9025,39,258.406196
0.8875,45,261.709267
0.9425,23,261.730388
0.94,24,261.752001
0.935,26,261.77625
0.9175,33,261.806077
0.595,162,261.951814
0.9625,15,261.965543
0.96,16,261.980598
0.9525,19,261.997099
